                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.74667,                0.32429,                0.91102,                0.96896,                 0.9837,                 0.9878,                0.74014,                0.94571,                0.31412,                  1.001,              0.0076834,              0.0076834,              0.0076834
                    119,                0.74574,                0.32243,                0.91409,                0.97275,                0.98389,                0.98892,                0.73872,                0.95314,                 0.3148,                 1.0035,              0.0076636,              0.0076636,              0.0076636
                    120,                0.73904,                0.31961,                 0.9112,                0.97146,                0.97644,                0.98764,                0.73498,                0.95618,                 0.3179,                 1.0052,              0.0076438,              0.0076438,              0.0076438
                    121,                0.73848,                0.31989,                0.91463,                0.97258,                0.98258,                0.98858,                0.73677,                0.95549,                0.31774,                 1.0113,               0.007624,               0.007624,               0.007624
                    122,                0.73858,                0.32054,                 0.9092,                0.97537,                0.97868,                0.98942,                0.73582,                0.95704,                0.31745,                 1.0032,              0.0076042,              0.0076042,              0.0076042
                    123,                0.74502,                 0.3207,                0.91334,                0.97104,                0.97562,                0.98566,                0.73871,                0.95568,                0.31693,                 1.0091,              0.0075844,              0.0075844,              0.0075844
                    124,                0.73115,                 0.3186,                 0.9157,                0.96976,                0.97424,                0.98566,                0.73644,                 0.9556,                0.31948,                 1.0182,              0.0075646,              0.0075646,              0.0075646
                    125,                0.72806,                0.31588,                0.91142,                0.96092,                 0.9808,                0.98338,                0.73579,                 0.9572,                0.32127,                 1.0155,              0.0075448,              0.0075448,              0.0075448
                    126,                 0.7268,                0.31603,                0.90599,                0.96117,                0.98042,                0.98423,                0.73469,                0.95845,                 0.3214,                  1.014,               0.007525,               0.007525,               0.007525
                    127,                0.72706,                0.31729,                0.91452,                0.96697,                0.97716,                0.98528,                0.73535,                0.95631,                0.31942,                  1.019,              0.0075052,              0.0075052,              0.0075052
                    128,                0.72038,                  0.316,                0.91031,                0.97069,                0.97819,                0.98458,                0.73344,                0.95881,                0.31785,                 1.0161,              0.0074854,              0.0074854,              0.0074854
                    129,                0.72585,                0.31792,                0.90854,                0.96683,                0.97872,                0.98517,                0.73642,                0.96024,                0.31893,                 1.0101,              0.0074656,              0.0074656,              0.0074656
                    130,                0.72106,                0.31559,                0.90878,                0.95926,                0.98178,                 0.9852,                0.73222,                0.96217,                0.32405,                 1.0151,              0.0074458,              0.0074458,              0.0074458
                    131,                0.72271,                0.31683,                0.90606,                0.96956,                0.97499,                0.98687,                0.73513,                0.96105,                0.32219,                 1.0103,               0.007426,               0.007426,               0.007426
                    132,                0.71455,                0.31094,                0.90617,                 0.9665,                0.97611,                0.98544,                0.73014,                0.96442,                 0.3208,                 1.0143,              0.0074062,              0.0074062,              0.0074062
                    133,                0.71546,                0.31614,                 0.9142,                0.96451,                0.98102,                0.98644,                 0.7343,                0.96128,                0.32113,                 1.0258,              0.0073864,              0.0073864,              0.0073864
                    134,                0.71291,                0.31218,                0.90774,                0.96574,                0.98349,                0.98624,                0.73246,                0.96197,                 0.3186,                  1.023,              0.0073666,              0.0073666,              0.0073666
                    135,                0.71603,                0.31419,                0.91028,                0.96188,                0.97821,                0.98443,                 0.7321,                0.96436,                0.32332,                 1.0215,              0.0073468,              0.0073468,              0.0073468
                    136,                0.70983,                0.31078,                0.90495,                0.97013,                0.97619,                0.98709,                0.73339,                0.97211,                0.32393,                  1.023,               0.007327,               0.007327,               0.007327
                    137,                0.71358,                0.31561,                0.90421,                0.97024,                0.97716,                0.98581,                0.73241,                0.97161,                0.32598,                 1.0183,              0.0073072,              0.0073072,              0.0073072
                    138,                0.69985,                0.30634,                0.89904,                0.96852,                0.97424,                0.98572,                0.73214,                0.97215,                0.32425,                 1.0128,              0.0072874,              0.0072874,              0.0072874
                    139,                0.70137,                 0.3065,                0.90318,                0.96365,                0.98378,                0.98596,                0.73156,                0.97268,                0.32385,                  1.017,              0.0072676,              0.0072676,              0.0072676
                    140,                0.70749,                 0.3101,                0.90831,                0.96753,                0.97872,                0.98789,                0.73307,                0.97482,                0.32389,                 1.0223,              0.0072478,              0.0072478,              0.0072478
                    141,                0.70168,                0.30529,                 0.9017,                0.96628,                0.97909,                0.98588,                0.73187,                0.97482,                0.32168,                 1.0266,               0.007228,               0.007228,               0.007228
                    142,                0.69322,                0.30784,                0.89862,                0.96887,                0.97764,                0.98423,                0.73063,                0.97016,                0.32177,                  1.018,              0.0072082,              0.0072082,              0.0072082
                    143,                0.69559,                0.30584,                0.89765,                0.96883,                0.97767,                0.98619,                0.72911,                0.97524,                0.32182,                 1.0204,              0.0071884,              0.0071884,              0.0071884
                    144,                0.68648,                0.30179,                0.89859,                0.96627,                0.97696,                0.98523,                0.72862,                 0.9759,                0.32452,                 1.0219,              0.0071686,              0.0071686,              0.0071686
                    145,                0.68896,                0.30388,                0.89524,                0.96788,                0.98073,                0.98625,                0.72985,                0.97405,                0.32071,                 1.0179,              0.0071488,              0.0071488,              0.0071488
                    146,                0.69787,                 0.3047,                0.90011,                0.96882,                0.97894,                0.98618,                0.72945,                0.97805,                0.32226,                 1.0206,               0.007129,               0.007129,               0.007129
                    147,                0.69016,                0.30204,                0.90378,                0.96904,                0.97828,                  0.986,                0.72814,                0.97742,                0.32251,                 1.0253,              0.0071092,              0.0071092,              0.0071092
                    148,                0.68938,                0.30334,                0.89654,                0.96689,                0.97639,                0.98473,                 0.7302,                0.97819,                0.32147,                 1.0246,              0.0070894,              0.0070894,              0.0070894
                    149,                0.68472,                0.30189,                0.89652,                0.96665,                0.97904,                0.98625,                0.73014,                0.97878,                0.32244,                 1.0263,              0.0070696,              0.0070696,              0.0070696
                    150,                0.68713,                0.30301,                0.89807,                0.96474,                0.97868,                0.98646,                0.72853,                0.97895,                0.32448,                 1.0262,              0.0070498,              0.0070498,              0.0070498
                    151,                0.67858,                 0.2994,                0.89383,                0.96852,                0.97566,                0.98618,                0.73042,                0.97654,                0.32134,                 1.0237,                0.00703,                0.00703,                0.00703
